 
file: ,POJ/61/270.txt
ids: ,"['POJ/13/180.txt', 'POJ/13/1082.txt', 'POJ/13/1421.txt', 'POJ/13/962.txt', 'POJ/13/988.txt', 'POJ/13/1391.txt', 'POJ/13/977.txt', 'POJ/13/281.txt', 'POJ/13/1473.txt', 'POJ/13/1012.txt']"
distances: ,"[0.3949955105781555, 0.4227774739265442, 0.4325747489929199, 0.43362802267074585, 0.4348917007446289, 0.43585824966430664, 0.4360097646713257, 0.43970537185668945, 0.4406406283378601, 0.44223320484161377]"
 
file: ,POJ/61/1152.txt
ids: ,"['POJ/13/1082.txt', 'POJ/53/124.txt', 'POJ/13/1421.txt', 'POJ/13/250.txt', 'POJ/13/1245.txt', 'POJ/13/281.txt', 'POJ/13/1542.txt', 'POJ/13/1261.txt', 'POJ/13/1012.txt', 'POJ/13/1268.txt']"
distances: ,"[0.34427011013031006, 0.3587038516998291, 0.3622157573699951, 0.36234354972839355, 0.36700761318206787, 0.3673241138458252, 0.36857670545578003, 0.3688700199127197, 0.3690410256385803, 0.37024426460266113]"
 
file: ,POJ/61/1556.txt
ids: ,"['POJ/79/1466.txt', 'POJ/79/5172.txt', 'POJ/79/2108.txt', 'POJ/79/1375.txt', 'POJ/79/911.txt', 'POJ/79/114.txt', 'POJ/79/2792.txt', 'POJ/79/3983.txt', 'POJ/79/2016.txt', 'POJ/79/1654.txt']"
distances: ,"[0.4088032841682434, 0.41932040452957153, 0.42086660861968994, 0.4221155643463135, 0.4326978921890259, 0.43473947048187256, 0.4360193610191345, 0.43881434202194214, 0.43896472454071045, 0.4391746520996094]"
 
file: ,POJ/61/630.txt
ids: ,"['POJ/13/1680.txt', 'POJ/13/250.txt', 'POJ/13/1082.txt', 'POJ/13/1261.txt', 'POJ/13/1012.txt', 'POJ/28/1338.txt', 'POJ/13/1542.txt', 'POJ/13/1339.txt', 'POJ/28/38.txt', 'POJ/28/40.txt']"
distances: ,"[0.42099910974502563, 0.4262688159942627, 0.4265134334564209, 0.42900651693344116, 0.4291155934333801, 0.43142396211624146, 0.43256664276123047, 0.4338842034339905, 0.4347929358482361, 0.4357683062553406]"
 
file: ,POJ/61/619.txt
ids: ,"['POJ/47/977.txt', 'POJ/47/1302.txt', 'POJ/47/1808.txt', 'POJ/47/1353.txt', 'POJ/47/3673.txt', 'POJ/47/2554.txt', 'POJ/47/1440.txt', 'POJ/47/5017.txt', 'POJ/47/1981.txt', 'POJ/47/3015.txt']"
distances: ,"[0.3850095272064209, 0.4021303653717041, 0.40236443281173706, 0.42291659116744995, 0.4235551357269287, 0.4308265447616577, 0.4309720993041992, 0.4328460097312927, 0.43727630376815796, 0.43774843215942383]"
 
file: ,POJ/61/1199.txt
ids: ,"['POJ/47/1302.txt', 'POJ/47/3922.txt', 'POJ/47/1586.txt', 'POJ/47/1808.txt', 'POJ/47/4690.txt', 'POJ/47/3919.txt', 'POJ/47/475.txt', 'POJ/47/4694.txt', 'POJ/47/5825.txt', 'POJ/47/773.txt']"
distances: ,"[0.3613588213920593, 0.3737301826477051, 0.37949496507644653, 0.3820897936820984, 0.3827189803123474, 0.384100079536438, 0.3854362368583679, 0.386216938495636, 0.38658207654953003, 0.3878684639930725]"
 
file: ,POJ/61/1198.txt
ids: ,"['POJ/13/180.txt', 'POJ/13/1082.txt', 'POJ/13/977.txt', 'POJ/13/982.txt', 'POJ/13/1391.txt', 'POJ/13/1766.txt', 'POJ/13/1421.txt', 'POJ/13/281.txt', 'POJ/13/1191.txt', 'POJ/13/205.txt']"
distances: ,"[0.36203092336654663, 0.37255704402923584, 0.3803172707557678, 0.38344770669937134, 0.3840574622154236, 0.38588929176330566, 0.38707274198532104, 0.3881254196166992, 0.3884730339050293, 0.3899267911911011]"
 
file: ,POJ/61/593.txt
