 
file: ,ProgramData/61/1008.txt
ids: ,"['ProgramData/35/2413.txt', 'ProgramData/94/1449.txt', 'ProgramData/76/1417.txt', 'ProgramData/100/1711.txt', 'ProgramData/63/544.txt', 'ProgramData/67/140.txt', 'ProgramData/33/1521.txt', 'ProgramData/18/509.txt', 'ProgramData/87/311.txt', 'ProgramData/99/1107.txt']"
distances: ,"[0.915886640548706, 0.9100236892700195, 0.9066246747970581, 0.9066194891929626, 0.9052925109863281, 0.9051926136016846, 0.9047173857688904, 0.9046098589897156, 0.9044742584228516, 0.9044519066810608]"
 
file: ,ProgramData/61/542.txt
ids: ,"['ProgramData/34/2970.txt', 'ProgramData/44/262.txt', 'ProgramData/46/2427.txt', 'ProgramData/4/530.txt', 'ProgramData/94/993.txt', 'ProgramData/26/71.txt', 'ProgramData/59/2050.txt', 'ProgramData/4/793.txt', 'ProgramData/17/141.txt', 'ProgramData/56/2518.txt']"
distances: ,"[0.7058247923851013, 0.7045103907585144, 0.7029390335083008, 0.6983488202095032, 0.6979814767837524, 0.6960866451263428, 0.6943768262863159, 0.694221019744873, 0.6939651966094971, 0.6935931444168091]"
 
file: ,ProgramData/50/2700.txt
ids: ,"['ProgramData/7/1103.txt', 'ProgramData/5/898.txt', 'ProgramData/19/740.txt', 'ProgramData/66/1626.txt', 'ProgramData/73/1575.txt', 'ProgramData/71/894.txt', 'ProgramData/4/354.txt', 'ProgramData/16/713.txt', 'ProgramData/13/1127.txt', 'ProgramData/94/1522.txt']"
distances: ,"[0.8234410881996155, 0.8222140073776245, 0.8217942714691162, 0.8217689394950867, 0.8214287757873535, 0.8212217092514038, 0.8209080696105957, 0.8202898502349854, 0.8201391696929932, 0.8198224306106567]"
 
file: ,ProgramData/57/1717.txt
